DISTRICT,PROVINCE,ZONE,RIVER_BASIN,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,PEAK_24H_RAIN,NBRO_LANDSLIDE_ALERT,FLOOD_OCCURRENCE,HAZARD_INDEX
Trincomalee,Dry,Dry,Mahaweli Ganga,2000,152.0,96.7,76.7,146.6,51.0,10.0,10.0,10.0,173.0,120.0,40.4,265.0,1151.4,107.0,0,Minor Flood,1
Jaffna,Dry,Dry,Peninsula / Coastal,2000,158.4,83.1,36.1,174.0,15.0,73.9,67.4,10.0,95.7,111.7,161.4,221.8,1208.5,96.7,0,Minor Flood,1
Kilinochchi,Dry,Dry,Kanakarayan Aru,2000,84.5,58.4,10.0,155.9,130.8,70.4,10.0,82.3,16.7,61.3,88.3,180.7,949.4,51.4,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,2000,141.8,88.5,35.3,88.6,15.0,10.0,65.8,85.1,15.0,83.7,132.5,183.6,944.9,72.9,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,2000,116.3,42.3,58.9,90.0,33.5,55.4,10.0,11.2,15.0,112.9,144.9,194.1,884.4,83.7,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,2000,167.7,84.3,55.5,126.9,15.0,10.0,10.0,28.8,116.0,268.1,192.4,240.3,1315.1,95.1,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,2000,53.1,26.8,30.7,92.6,67.0,80.6,88.0,10.0,43.6,90.1,162.8,240.7,985.9,83.8,0,No Flood,0
Colombo,Wet,Wet,Kelani Ganga,2001,59.0,56.7,39.1,160.9,162.5,162.7,253.4,63.1,169.5,201.7,265.9,53.9,1648.3,80.4,0,No Flood,0
Gampaha,Wet,Wet,Kelani Ganga,2001,25.6,24.9,53.5,171.4,165.1,93.6,121.2,127.3,154.9,230.8,94.9,20.0,1283.1,72.6,0,No Flood,0
Kalutara,Wet,Wet,Kalu Ganga,2001,26.1,50.2,26.6,293.9,337.1,252.7,190.7,188.5,251.5,245.9,269.2,68.2,2200.5,105.9,2,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,2001,79.5,23.9,91.5,217.6,425.6,261.6,289.7,175.1,282.8,284.5,219.1,41.0,2391.9,145.1,2,Minor Flood,1
Kegalle,Wet,Wet,Kelani Ganga,2001,28.4,41.7,116.8,184.3,299.4,251.6,151.7,182.8,250.7,246.9,304.1,104.0,2162.4,128.9,2,Minor Flood,1
Galle,Wet,Wet,Gin Ganga,2001,24.9,28.7,58.7,153.7,145.5,133.6,163.6,135.9,206.2,182.3,216.2,99.0,1548.5,71.5,0,No Flood,0
Matara,Wet,Wet,Nilwala Ganga,2001,41.0,6.4,98.2,183.1,129.6,161.4,125.0,108.7,227.7,167.6,184.4,20.0,1453.0,72.5,0,No Flood,0
Kandy,Wet,Wet,Mahaweli Ganga,2001,58.7,32.0,21.5,180.1,91.5,142.8,101.2,132.5,227.0,85.0,140.5,97.7,1310.3,89.9,1,No Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2001,73.7,10.3,82.9,147.6,230.2,285.0,135.3,87.4,135.9,50.7,131.2,62.8,1433.1,110.3,2,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2001,69.4,47.6,87.5,67.9,15.0,114.0,33.9,11.2,90.3,105.1,218.0,99.1,959.0,94.1,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2001,103.2,42.8,68.1,100.5,93.3,39.1,10.0,44.7,134.8,184.4,207.7,189.2,1217.6,92.2,1,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,2001,24.0,49.2,69.8,106.9,68.9,91.0,85.6,56.6,15.0,146.6,70.1,67.9,851.6,50.2,0,No Flood,0
Anuradhapura,Dry,Dry,Malwathu Oya,2001,62.9,39.0,30.5,140.0,55.3,46.5,53.2,10.0,81.4,96.3,157.0,64.0,836.1,60.2,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,2001,69.6,40.6,87.2,123.4,106.2,10.0,99.1,10.0,43.9,103.1,68.9,66.6,828.6,35.8,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,2001,54.6,9.7,66.3,61.4,39.8,10.0,10.0,27.0,164.7,147.9,112.1,70.2,773.7,73.1,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,2001,126.0,46.3,83.1,66.6,60.8,124.6,27.1,42.3,93.1,73.1,30.0,130.4,903.5,44.7,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,2001,108.1,58.8,54.2,100.8,22.3,106.0,10.0,10.0,24.2,25.0,114.6,244.8,878.7,70.9,0,No Flood,0
Batticaloa,Dry,Dry,Mundeni Aru,2001,136.3,69.3,45.3,69.5,15.0,10.0,36.2,10.0,44.2,202.4,153.5,172.6,964.3,78.5,0,No Flood,0
Trincomalee,Dry,Dry,Mahaweli Ganga,2001,149.8,40.9,24.7,40.7,21.7,54.8,69.6,20.1,15.0,121.1,71.7,276.0,906.0,83.6,0,Minor Flood,1
Jaffna,Dry,Dry,Peninsula / Coastal,2001,101.7,67.7,41.8,20.0,15.0,32.2,54.7,10.0,129.0,25.0,70.5,152.6,720.2,47.0,0,No Flood,0
Kilinochchi,Dry,Dry,Kanakarayan Aru,2001,62.1,48.9,31.2,105.4,15.0,46.7,110.0,10.0,31.5,61.1,141.1,152.9,815.9,62.5,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,2001,79.8,20.6,10.4,106.0,107.3,79.8,27.2,10.0,19.3,183.3,141.0,117.0,901.8,58.5,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,2001,56.9,61.1,70.6,63.8,15.0,39.5,10.0,16.6,129.5,86.0,90.1,104.8,744.0,45.0,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,2001,70.3,25.7,51.5,87.9,32.8,53.0,72.5,10.0,42.4,25.0,203.0,99.5,773.7,65.1,0,No Flood,0
Puttalam,Dry,Dry,Deduru Oya,2001,60.2,14.2,39.2,123.0,54.0,71.2,122.5,10.0,120.1,123.9,73.9,26.6,838.7,53.5,0,No Flood,0
Colombo,Wet,Wet,Kelani Ganga,2002,50.6,49.1,129.5,308.0,247.1,294.3,179.5,230.8,319.5,279.4,173.5,95.9,2357.3,133.5,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,2002,48.9,52.9,160.1,269.2,245.7,288.3,218.7,238.1,220.8,194.9,376.6,20.0,2334.1,108.9,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,2002,44.7,18.2,179.5,249.5,520.4,447.0,261.4,283.7,455.3,304.8,378.9,134.9,3278.3,178.5,3,Major Flood,2
Ratnapura,Wet,Wet,Kalu Ganga,2002,125.0,14.7,149.7,320.6,609.4,461.4,375.4,301.6,441.2,389.6,328.0,177.2,3694.0,244.6,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,2002,67.8,48.0,214.7,411.9,485.5,387.1,341.0,326.1,353.8,461.5,413.0,145.3,3655.6,196.1,3,Major Flood,2
Galle,Wet,Wet,Gin Ganga,2002,66.8,56.5,130.1,293.1,350.2,316.7,349.9,314.5,384.3,339.5,220.5,116.7,2938.8,118.3,2,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,2002,89.3,56.9,128.8,252.7,305.8,332.3,320.2,279.8,351.8,317.5,354.3,78.8,2868.1,142.5,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,2002,93.6,60.7,132.0,287.1,190.8,207.2,126.6,121.7,225.2,333.6,278.4,193.4,2250.3,128.9,2,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2002,124.3,57.4,109.3,229.3,185.8,278.4,160.1,135.1,164.7,342.0,268.7,222.9,2278.1,99.7,1,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2002,131.7,101.6,157.6,165.4,88.9,93.2,105.4,68.2,164.0,304.7,188.3,258.3,1827.2,107.0,2,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2002,133.4,85.1,70.0,145.4,156.4,117.4,97.3,57.5,100.3,170.6,312.2,275.4,1720.8,109.8,2,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,2002,60.8,15.9,86.9,181.1,62.2,141.0,160.6,56.7,142.0,279.3,282.1,146.9,1615.5,83.4,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,2002,174.5,100.5,38.4,176.9,111.3,10.0,81.1,102.1,15.0,121.9,265.2,220.0,1416.9,116.9,0,Minor Flood,1
Polonnaruwa,Dry,Dry,Mahaweli Ganga,2002,149.4,91.5,135.9,188.7,21.2,149.3,53.6,37.1,43.8,99.2,214.0,265.7,1449.4,112.3,0,Minor Flood,1
Hambantota,Dry,Dry,Walawe Ganga,2002,108.1,31.8,76.7,136.8,107.5,64.5,60.4,93.9,55.6,80.5,312.8,215.3,1343.7,121.5,0,Minor Flood,1
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,2002,152.9,54.3,101.1,190.4,52.1,39.4,143.1,48.8,158.1,266.2,258.7,229.0,1694.1,111.8,0,Minor Flood,1
Ampara,Dry,Dry,Gal Oya,2002,184.3,116.2,100.5,110.2,114.8,99.7,10.0,42.1,85.8,184.0,290.9,402.0,1740.4,130.9,0,Major Flood,2
Batticaloa,Dry,Dry,Mundeni Aru,2002,235.9,114.4,123.5,193.3,180.7,10.0,74.2,10.0,15.0,84.3,267.2,344.6,1653.1,100.2,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,2002,179.8,124.7,74.4,157.9,64.2,10.0,43.6,13.0,26.9,283.2,139.5,341.7,1458.8,104.9,0,Minor Flood,1
Jaffna,Dry,Dry,Peninsula / Coastal,2002,190.5,77.5,77.2,142.4,15.0,53.4,10.0,10.0,39.4,67.5,48.6,301.8,1033.2,102.7,0,Minor Flood,1
Kilinochchi,Dry,Dry,Kanakarayan Aru,2002,183.4,106.2,93.9,133.5,39.5,57.9,37.0,10.0,27.2,125.8,210.4,415.9,1440.7,130.1,0,Major Flood,2
Mannar,Dry,Dry,Aruvi Aru,2002,154.2,96.8,74.0,134.4,18.4,116.4,10.0,41.4,15.0,189.3,109.5,260.8,1220.2,78.2,0,Minor Flood,1
Vavuniya,Dry,Dry,Malwathu Oya,2002,179.2,104.4,40.0,145.9,15.0,10.0,27.1,21.4,164.3,202.9,109.5,212.6,1232.4,67.5,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,2002,185.3,110.3,14.6,200.3,127.5,10.0,82.0,72.6,38.7,99.1,265.0,271.7,1477.1,105.3,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,2002,79.7,60.1,62.5,177.9,29.8,53.3,14.2,80.1,111.7,192.3,234.7,91.0,1187.3,82.4,0,No Flood,0
Colombo,Wet,Wet,Kelani Ganga,2003,64.1,21.0,218.2,330.5,328.6,389.9,334.4,260.5,342.9,379.9,269.0,92.2,3031.1,161.6,0,Major Flood,2
Gampaha,Wet,Wet,Kelani Ganga,2003,38.8,35.8,128.2,280.2,431.7,292.5,250.4,233.6,336.8,213.2,352.1,122.2,2715.5,148.4,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,2003,77.5,74.0,155.4,321.2,491.7,426.7,391.8,342.1,555.0,412.2,566.7,180.4,3994.7,159.5,3,Major Flood,2
Ratnapura,Wet,Wet,Kalu Ganga,2003,120.7,35.2,191.9,367.3,627.5,555.4,384.6,386.1,510.1,539.7,554.7,201.9,4475.1,261.4,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,2003,62.7,51.9,214.9,400.3,486.7,494.1,380.9,338.2,454.3,430.7,505.0,214.2,4033.9,197.6,3,Major Flood,2
Galle,Wet,Wet,Gin Ganga,2003,96.1,69.6,141.6,336.4,613.9,435.0,318.6,300.9,361.7,347.3,419.6,71.8,3512.4,266.6,3,Major Flood,2
Matara,Wet,Wet,Nilwala Ganga,2003,50.5,47.7,169.1,282.4,537.7,392.2,380.5,326.9,432.0,305.3,424.0,129.3,3477.7,208.7,3,Major Flood,2
Kandy,Wet,Wet,Mahaweli Ganga,2003,88.1,47.3,165.1,235.4,323.6,192.6,247.0,142.1,271.2,373.9,333.2,211.8,2631.3,110.3,2,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2003,87.2,90.3,128.3,261.2,325.1,329.1,219.4,226.0,222.4,394.7,409.0,157.9,2850.7,183.8,3,Major Flood,2
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2003,184.6,104.2,135.9,164.8,181.0,150.2,49.9,78.0,109.7,270.3,334.9,345.6,2109.1,115.2,2,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2003,139.6,108.1,156.8,242.0,224.5,242.4,156.6,116.9,213.6,372.1,415.1,239.3,2627.0,143.7,2,Major Flood,2
Kurunegala,Intermediate,Intermediate,Deduru Oya,2003,116.9,30.0,143.0,161.0,234.7,218.3,112.5,132.5,260.1,271.3,270.5,236.5,2187.3,119.4,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,2003,156.6,61.5,124.7,212.8,15.0,108.6,70.4,10.0,15.0,231.2,209.0,334.6,1549.5,131.7,0,Minor Flood,1
Polonnaruwa,Dry,Dry,Mahaweli Ganga,2003,174.3,108.3,148.1,222.7,111.2,99.3,62.9,78.2,15.0,214.2,276.7,226.6,1737.5,90.5,0,Minor Flood,1
Hambantota,Dry,Dry,Walawe Ganga,2003,114.7,76.9,39.2,214.2,62.5,90.4,120.2,82.2,107.9,256.8,262.8,155.5,1583.3,113.2,0,Minor Flood,1
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,2003,172.3,70.9,133.4,172.7,126.1,138.9,76.8,90.0,65.5,231.8,260.7,206.3,1745.4,76.1,0,Minor Flood,1
Ampara,Dry,Dry,Gal Oya,2003,198.8,105.5,49.6,179.3,15.0,42.1,24.6,89.9,15.0,186.3,236.2,305.9,1448.4,104.1,0,Minor Flood,1
Batticaloa,Dry,Dry,Mundeni Aru,2003,243.1,145.0,124.4,175.6,36.8,10.0,42.1,10.0,79.4,136.4,250.7,410.9,1664.5,155.6,0,Major Flood,2
Trincomalee,Dry,Dry,Mahaweli Ganga,2003,199.2,127.2,58.7,219.8,23.2,64.0,10.0,32.1,15.0,92.7,296.2,437.3,1575.4,172.0,0,Major Flood,2
Jaffna,Dry,Dry,Peninsula / Coastal,2003,220.9,123.4,98.1,83.1,32.6,85.8,32.6,10.0,38.0,299.4,302.9,321.7,1648.4,109.8,0,Minor Flood,1
Kilinochchi,Dry,Dry,Kanakarayan Aru,2003,195.4,133.5,75.6,91.1,26.0,66.2,50.9,10.0,28.1,369.9,154.7,347.7,1549.1,138.3,0,Minor Flood,1
Mannar,Dry,Dry,Aruvi Aru,2003,206.6,70.9,87.7,106.9,15.0,10.0,10.0,10.3,15.0,235.6,137.0,274.9,1179.9,94.5,0,Minor Flood,1
Vavuniya,Dry,Dry,Malwathu Oya,2003,169.4,125.4,94.8,135.9,85.7,77.8,66.9,10.0,16.6,168.2,211.5,311.1,1473.3,101.0,0,Minor Flood,1
Mullaitivu,Dry,Dry,Nay Aru,2003,228.7,144.2,72.2,188.0,15.0,19.7,37.8,10.0,15.0,168.7,253.9,325.6,1478.8,117.1,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,2003,163.8,64.8,105.2,149.4,215.0,16.9,122.3,49.2,51.2,177.0,430.7,203.9,1749.4,187.3,0,Major Flood,2
Colombo,Wet,Wet,Kelani Ganga,2004,44.2,96.0,13.4,210.0,173.2,182.4,132.4,106.2,128.3,193.4,96.7,86.5,1462.7,65.0,0,No Flood,0
Gampaha,Wet,Wet,Kelani Ganga,2004,65.2,9.5,116.4,111.9,192.1,129.9,155.7,66.9,179.2,174.8,147.4,45.6,1394.7,54.4,0,No Flood,0
Kalutara,Wet,Wet,Kalu Ganga,2004,43.4,48.7,69.1,198.2,262.0,238.3,197.3,187.2,219.6,220.1,335.7,113.0,2132.5,112.1,2,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,2004,58.7,38.7,66.7,138.2,345.1,303.9,152.6,133.6,229.8,170.4,192.4,20.0,1850.1,145.6,2,Minor Flood,1
Kegalle,Wet,Wet,Kelani Ganga,2004,60.1,20.7,97.9,117.9,261.0,76.2,172.2,100.3,271.0,248.2,257.1,144.7,1827.3,117.5,2,Minor Flood,1
Galle,Wet,Wet,Gin Ganga,2004,58.3,38.5,102.4,110.0,141.5,137.6,160.0,181.6,145.7,245.8,181.6,44.0,1546.9,83.1,1,No Flood,1
Matara,Wet,Wet,Nilwala Ganga,2004,71.5,17.6,89.0,122.8,116.9,213.0,73.5,143.6,117.8,298.4,260.8,69.0,1593.9,101.0,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,2004,78.0,56.5,128.3,164.3,129.8,169.0,121.8,112.7,126.5,107.7,115.9,83.3,1393.8,75.5,1,No Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2004,91.5,41.8,70.8,118.9,109.5,150.9,129.2,58.1,153.9,147.5,52.4,40.3,1164.7,44.4,0,No Flood,0
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2004,88.3,41.2,13.2,99.8,15.0,90.4,10.0,83.5,75.4,160.4,30.0,115.9,823.1,54.8,0,No Flood,0
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2004,67.3,66.3,10.8,20.0,50.3,95.8,108.6,31.5,43.1,198.0,30.0,108.0,829.7,86.8,1,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,2004,58.8,67.1,62.9,97.7,26.4,68.4,74.4,63.7,164.6,175.5,155.0,43.1,1057.7,52.6,0,No Flood,0
Anuradhapura,Dry,Dry,Malwathu Oya,2004,90.9,45.1,26.5,90.9,78.6,10.0,77.4,10.0,50.7,172.6,30.0,82.1,764.7,51.4,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,2004,61.5,13.3,83.7,142.5,31.7,10.0,12.4,13.0,15.0,94.5,136.0,188.1,801.6,60.1,0,No Flood,0
Hambantota,Dry,Dry,Walawe Ganga,2004,97.4,30.1,50.9,109.6,15.0,132.4,46.9,99.9,15.0,209.9,163.8,111.0,1081.8,64.0,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,2004,79.4,67.1,44.5,142.1,97.5,36.6,67.3,15.7,161.6,25.0,176.0,29.4,942.2,59.0,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,2004,101.6,66.1,23.1,142.2,98.2,60.7,19.4,46.3,15.0,163.3,233.2,215.2,1184.3,92.6,0,Minor Flood,1
Batticaloa,Dry,Dry,Mundeni Aru,2004,133.9,45.2,30.0,54.4,15.0,89.3,10.0,10.0,99.3,89.0,77.7,179.9,833.8,50.9,0,No Flood,0
Trincomalee,Dry,Dry,Mahaweli Ganga,2004,136.5,94.4,34.5,66.5,65.2,13.6,18.9,52.7,15.0,191.1,130.7,150.9,970.0,53.9,0,No Flood,0
Jaffna,Dry,Dry,Peninsula / Coastal,2004,83.9,76.1,44.6,57.2,44.5,17.3,10.0,29.0,15.0,151.3,91.4,195.8,816.0,73.1,0,No Flood,0
Kilinochchi,Dry,Dry,Kanakarayan Aru,2004,95.2,42.2,57.1,100.7,15.0,10.0,13.9,10.0,64.1,78.6,30.0,133.2,650.0,44.9,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,2004,98.7,5.0,46.8,25.4,60.3,56.7,10.0,10.0,15.0,25.0,211.2,84.1,648.2,61.2,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,2004,85.8,40.7,15.7,106.2,15.0,65.1,10.0,10.0,15.0,70.7,176.8,163.0,774.0,69.7,0,No Flood,0
Mullaitivu,Dry,Dry,Nay Aru,2004,94.6,81.4,58.6,54.1,110.9,10.0,10.0,10.0,52.3,167.7,181.8,172.9,1004.2,59.9,0,No Flood,0
Puttalam,Dry,Dry,Deduru Oya,2004,116.9,20.9,10.0,20.3,90.4,10.0,16.8,48.3,48.5,143.1,146.7,157.0,829.0,64.8,0,No Flood,0
Colombo,Wet,Wet,Kelani Ganga,2005,14.7,7.9,69.7,205.8,287.0,228.1,217.7,103.6,275.2,303.8,286.8,149.0,2149.4,107.2,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,2005,65.3,8.2,111.8,125.5,248.2,120.5,112.7,165.0,227.5,225.1,212.6,20.0,1642.5,108.7,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,2005,39.7,5.0,78.8,282.4,258.1,305.0,281.7,166.5,285.0,309.8,286.0,221.4,2519.3,90.4,1,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,2005,66.6,18.3,135.8,207.5,285.4,294.4,201.8,267.6,382.9,281.9,307.9,103.5,2553.4,151.2,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,2005,63.1,32.9,81.5,171.9,384.2,348.0,210.3,204.4,212.6,317.0,320.8,181.0,2527.8,130.0,2,Minor Flood,1
Galle,Wet,Wet,Gin Ganga,2005,35.0,35.7,148.0,163.0,275.8,277.2,152.3,162.8,247.1,214.9,301.6,222.2,2235.7,88.8,1,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,2005,5.0,45.4,49.1,238.3,256.8,233.5,167.0,167.5,298.8,70.0,329.7,94.8,1955.8,110.6,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,2005,48.9,5.9,123.1,207.1,127.2,134.2,82.1,126.1,230.5,240.9,290.9,148.9,1765.8,124.6,2,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2005,109.6,36.4,48.5,173.9,329.0,129.1,127.6,148.6,165.2,132.9,288.8,217.9,1907.4,96.9,1,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2005,133.6,103.4,91.7,82.8,198.3,69.7,18.8,10.0,107.8,178.8,207.4,226.2,1428.4,91.4,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2005,135.2,28.8,28.0,122.1,124.8,173.3,98.6,51.5,26.6,231.4,114.6,237.3,1372.2,97.0,1,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,2005,5.3,10.7,84.5,105.6,111.2,119.7,74.1,55.6,33.4,179.5,66.2,61.6,907.2,62.5,0,No Flood,0
Anuradhapura,Dry,Dry,Malwathu Oya,2005,47.7,24.3,32.7,178.3,15.0,47.4,48.9,33.5,32.1,51.6,233.1,234.2,978.8,81.6,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,2005,87.1,52.7,26.4,97.0,15.0,78.8,39.6,10.0,91.8,152.3,34.2,213.9,898.7,89.1,0,Minor Flood,1
Hambantota,Dry,Dry,Walawe Ganga,2005,45.1,38.0,79.8,105.8,15.0,17.7,42.9,39.4,152.6,40.2,171.6,176.4,924.4,74.2,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,2005,91.4,34.8,95.8,134.2,23.1,102.7,71.4,10.0,48.9,114.3,333.1,170.5,1230.2,146.2,0,Major Flood,2
Ampara,Dry,Dry,Gal Oya,2005,121.6,111.6,39.7,95.2,163.2,10.0,10.0,22.4,78.0,149.5,70.1,171.2,1042.6,60.8,0,No Flood,0
Batticaloa,Dry,Dry,Mundeni Aru,2005,158.5,107.7,97.2,94.5,112.6,42.8,81.5,46.5,15.0,248.7,165.2,262.7,1432.8,100.6,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,2005,149.2,49.4,21.3,123.1,52.4,10.0,37.2,91.8,70.7,68.6,146.9,169.6,990.2,52.2,0,No Flood,0
Jaffna,Dry,Dry,Peninsula / Coastal,2005,110.4,57.6,34.8,89.2,46.3,10.0,10.0,10.0,15.0,127.8,83.7,192.3,787.2,56.2,0,No Flood,0
Kilinochchi,Dry,Dry,Kanakarayan Aru,2005,161.9,104.3,58.7,141.1,43.3,10.0,10.0,26.5,15.0,110.2,132.8,181.8,995.6,54.7,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,2005,59.3,58.1,57.5,94.3,15.0,10.0,10.0,22.9,15.0,215.8,30.0,139.7,727.7,61.3,0,No Flood,0
Vavuniya,Dry,Dry,Malwathu Oya,2005,82.7,49.6,99.9,126.8,15.0,10.0,11.0,15.0,54.8,91.2,172.0,264.6,992.6,95.5,0,Minor Flood,1
Mullaitivu,Dry,Dry,Nay Aru,2005,104.8,44.4,69.0,86.3,15.0,58.7,10.0,10.0,15.0,188.0,102.7,277.8,981.7,105.1,0,Minor Flood,1
Puttalam,Dry,Dry,Deduru Oya,2005,84.1,50.2,39.1,133.9,135.0,10.0,63.7,10.0,15.0,241.6,124.1,55.2,961.9,95.1,0,Minor Flood,1
Colombo,Wet,Wet,Kelani Ganga,2006,5.0,5.1,158.1,284.6,277.6,188.5,294.7,247.4,267.7,210.0,288.0,65.0,2291.7,121.6,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,2006,11.1,37.4,128.0,274.6,296.6,268.4,169.8,264.1,191.9,213.7,399.4,20.0,2275.1,146.7,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,2006,15.0,33.3,154.4,255.9,401.2,295.1,298.5,233.7,226.5,380.6,409.8,97.5,2801.5,128.4,2,Minor Flood,1
Ratnapura,Wet,Wet,Kalu Ganga,2006,98.5,45.4,180.0,280.2,519.3,353.7,307.0,308.6,322.0,278.2,325.4,79.4,3097.8,172.4,3,Major Flood,2
Kegalle,Wet,Wet,Kelani Ganga,2006,118.9,63.2,189.1,195.3,385.7,271.9,237.9,210.1,376.1,276.8,407.5,132.5,2864.8,178.7,3,Major Flood,2
Galle,Wet,Wet,Gin Ganga,2006,63.1,56.5,181.3,260.8,392.4,330.8,285.9,220.8,285.7,310.9,288.5,84.0,2760.6,167.2,3,Major Flood,2
Matara,Wet,Wet,Nilwala Ganga,2006,112.3,33.9,140.3,185.4,290.3,351.5,177.2,201.5,279.3,273.8,288.9,114.8,2449.2,145.1,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,2006,103.5,68.0,103.1,213.4,235.8,146.8,174.2,202.6,176.4,154.4,227.7,42.5,1848.4,91.9,1,Minor Flood,1
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,2006,59.0,59.6,56.0,164.6,284.1,187.4,164.7,190.5,225.6,249.8,240.9,142.7,2024.9,125.8,2,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2006,89.1,47.3,87.0,133.6,80.0,63.4,113.4,39.7,61.5,243.4,188.7,218.4,1365.5,96.7,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,2006,125.8,75.1,84.2,72.5,124.9,212.4,65.2,45.5,113.6,210.8,293.5,127.0,1550.6,119.7,2,Minor Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,2006,95.6,33.2,107.0,147.5,192.7,182.8,125.1,77.1,106.7,325.4,221.4,169.4,1783.8,100.4,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,2006,117.2,87.2,83.8,88.1,202.3,60.2,95.0,28.4,70.5,200.6,248.2,228.2,1509.7,84.8,0,No Flood,0
